dl-link,filename,fn
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=18138&type=Excel&EnData=False,1401.05 H&H,18138.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=18082&type=Excel&EnData=False,1401.04 H&H,18082.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=18032&type=Excel&EnData=False,1401.03 H&H,18032.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=18012&type=Excel&EnData=False,1401.01 H&H,18012.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17896&type=Excel&EnData=False,1400.12 H&H,17896.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17840&type=Excel&EnData=False,1400.11 H&H,17840.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17784&type=Excel&EnData=False,1400.10 H&H,17784.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17735&type=Excel&EnData=False,1400.09 H&H,17735.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17677&type=Excel&EnData=False,1400.08 H&H,17677.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17632&type=Excel&EnData=False,1400.07 H&H,17632.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17579&type=Excel&EnData=False,1400.06 H&H,17579.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17514&type=Excel&EnData=False,1400.05 H&H,17514.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17474&type=Excel&EnData=False,1400.04 H&H,17474.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17410&type=Excel&EnData=False,1400.03 H&H,17410.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17364&type=Excel&EnData=False,1400.02 H&H,17364.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17300&type=Excel&EnData=False,1400.01 H&H,17300.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17265&type=Excel&EnData=False,99.12 H&H,17265.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17264&type=Excel&EnData=False,99.11 H&H,17264.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17017&type=Excel&EnData=False,99.08 H&H,17017.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=17029&type=Excel&EnData=False,99.07 H&H,17029.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16757&type=Excel&EnData=False,99.03 H&H,16757.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16652&type=Excel&EnData=False,99.01 H&H,16652.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16543&type=Excel&EnData=False,98.11 H&H,16543.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16475&type=Excel&EnData=False,98.10 H&H,16475.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16418&type=Excel&EnData=False,98.09 H&H,16418.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16520&type=Excel&EnData=False,98.08 H&H,16520.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16308&type=Excel&EnData=False,98.07 H&H,16308.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16249&type=Excel&EnData=False,98.06 H&H,16249.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16194&type=Excel&EnData=False,98.05 H&H,16194.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16132&type=Excel&EnData=False,98.04 H&H,16132.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16071&type=Excel&EnData=False,98.03 H&H,16071.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=16014&type=Excel&EnData=False,98.02 H&H,16014.xlsx
https://www.ifb.ir/GetFiles/GetPeriodicalFile.aspx?id=15951&type=Excel&EnData=False,98.01 H&H,15951.xlsx
